,Média,Desvio Padrão,Média O2,Desvio Padrão O2
100,0.0007029056549072265,8.171952128288033e-05,4.427018732255085e-06,4.0380934105239365e-08
500,0.006916109720865885,0.0001990740571091437,4.5386256672675354e-06,1.1528527278168857e-07
1000,0.02365566889444987,0.000328026839379549,7.2935057086319515e-06,3.2046101601484656e-07
5000,0.47213374773661293,0.008894691211627179,0.00010369940989517117,5.776642120130497e-06
10000,1.8265653610229493,0.03485291314713781,0.0004564431759834283,2.2242903832376047e-05
