,Média,Desvio Padrão,Média O2,Desvio Padrão O2
100,0.0008798917134602865,2.1709722810492017e-05,1.060582409614371e-07,4.6104955399650523e-08
500,0.020381689071655273,0.0002581983421816509,4.966918655304319e-07,2.7975737656119376e-07
1000,0.08346139589945475,0.0010740612011006594,1.8794250402195994e-06,1.0505335939643023e-06
5000,2.0900906562805175,0.019623401852593574,4.576903464096928e-05,2.561034462634593e-05
10000,8.62174162864685,0.15766935097473778,0.00018933131566760425,0.00010477343507274646
